text,category,emotion,urgency
社区网络安治隐患仍存,安全治理,抱怨,中
社区网络民治参与不足,社区治理,抱怨,低
社区网络惠治获得感低,民生服务,抱怨,低
社区网络乐治幸福感弱,文化生活,抱怨,低
社区网络康治安全感差,医疗卫生,抱怨,低
社区网络颐治满意度低,民生服务,抱怨,低
text,category,emotion,urgency
社区老年活动中心空调制冷效果差，夏季室内闷热难耐,安全治理,抱怨,中
社区便民服务中心工作人员态度热情，办事指引清晰,社区治理,表扬,低
社区公园健身器材维护不及时，部分器材存在安全隐患,安全治理,抱怨,中
社区垃圾分类指导员耐心细致，居民分类准确率明显提升,环境卫生,表扬,低
社区主干道乱停车现象严重，早晚高峰经常拥堵,交通管理,抱怨,中
社区志愿者定期清理小广告，墙面整洁度显著改善,环境卫生,表扬,低
社区超市生鲜区域卫生状况差，地面湿滑易摔倒,环境卫生,抱怨,中
社区医院夜间急诊响应迅速，医护人员专业负责,医疗卫生,表扬,高
社区快递驿站管理混乱，包裹经常错拿丢失,安全治理,抱怨,中
社区图书馆环境安静整洁，学习氛围浓厚,文化生活,表扬,低
社区烧烤店油烟排放超标，周边住户不敢开窗,环境卫生,抱怨,中
社区幼儿园安保措施到位，家长接送秩序良好,安全治理,表扬,低
社区理发店音响音量过大，影响周边居民休息,社区治理,抱怨,低
社区银行网点服务窗口少，老年人排队时间长,社区治理,抱怨,中
社区花店占道经营，行人通行受阻,环境卫生,抱怨,低
社区药店药品价格透明，药师专业咨询到位,医疗卫生,表扬,低
社区健身房器材维护不及时，使用体验差,安全治理,抱怨,中
社区咖啡厅外摆区域管理规范，环境优雅舒适,环境卫生,表扬,低
社区水果店果皮随地丢弃，环境卫生差,环境卫生,抱怨,低
社区移动营业厅业务办理效率高，服务态度好,社区治理,表扬,低
社区洗衣店化学试剂气味刺鼻，影响周边住户,环境卫生,抱怨,中
社区书店阅读区环境安静，书籍更新及时,文化生活,表扬,低
社区网吧通宵营业，人员进出嘈杂,社区治理,抱怨,中
社区邮政网点包裹寄存有序，取件方便快捷,安全治理,表扬,低
社区美容院顾客停车不规范，占用消防通道,交通管理,抱怨,中
社区供电营业厅缴费系统稳定，办事效率高,社区治理,表扬,低
社区餐饮店厨余垃圾处理不当，异味扰民,环境卫生,抱怨,中
社区电信营业厅网络故障修复及时，服务专业,安全治理,表扬,中
社区教育培训机构宣传单随意散发，影响市容,环境卫生,抱怨,低
社区供水公司应急抢修迅速，减少停水影响,安全治理,表扬,高
社区便利店夜间灯箱过亮，影响居民睡眠,环境卫生,抱怨,低
社区供热公司冬季供暖稳定，室内温度达标,安全治理,表扬,低
社区宠物医院医疗废物处理规范，环境卫生良好,环境卫生,表扬,低
社区水果店冷链设备噪音大，夜间扰民,社区治理,抱怨,中
社区菜市场管理规范，菜品新鲜价格公道,民生服务,表扬,低
社区KTV隔音效果差，低频震动影响休息,社区治理,抱怨,中
社区药店夜间售药服务方便，应急药品齐全,医疗卫生,表扬,低
社区烧烤店夜间经营时间长，顾客喧哗扰民,社区治理,抱怨,中
社区银行ATM机区域照明充足，安全有保障,安全治理,表扬,低
社区理发店卫生条件差，工具消毒不到位,医疗卫生,抱怨,中
社区超市商品价格标签清晰，明码标价规范,民生服务,表扬,低
社区洗衣店占道晾晒，影响行人通行,环境卫生,抱怨,低
社区咖啡厅WiFi信号稳定，环境舒适宜人,安全治理,表扬,低
社区美容院装修期间粉尘污染严重,环境卫生,抱怨,中
社区书店举办读书分享会，文化氛围浓厚,文化生活,表扬,低
社区水果店喇叭广告音量过大，扰民严重,社区治理,抱怨,中
社区健身房教练专业负责，健身指导到位,民生服务,表扬,低
社区网吧消防安全设施不全，存在隐患,安全治理,抱怨,高
社区邮政快递配送及时，服务态度友好,民生服务,表扬,低
社区餐饮店餐具消毒不彻底，卫生堪忧,医疗卫生,抱怨,中
社区移动公司信号覆盖完善，通话质量好,安全治理,表扬,低
社区便利店商品摆放混乱，购物体验差,民生服务,抱怨,低
社区供电公司电费查询方便，账单清晰,社区治理,表扬,低
社区宠物医院夜间急诊服务到位,医疗卫生,表扬,中
社区水果店果品质量不稳定，以次充好,民生服务,抱怨,中
社区菜市场卫生打扫及时，地面干净整洁,环境卫生,表扬,低
社区KTV消防安全通道堵塞，隐患严重,安全治理,抱怨,高
社区药店药品分类明确，便于寻找,医疗卫生,表扬,低
社区烧烤店油烟净化设备维护不到位,环境卫生,抱怨,中
社区银行理财经理专业咨询，服务贴心,社区治理,表扬,低
社区理发店毛巾消毒不彻底，卫生条件差,医疗卫生,抱怨,中
社区超市生鲜区冷链设备运行正常，保鲜效果好,安全治理,表扬,低
社区洗衣店熨烫质量不稳定，客户投诉多,民生服务,抱怨,低
社区咖啡厅员工服务热情，环境优雅,民生服务,表扬,低
社区美容院预约系统混乱，经常出错,民生服务,抱怨,低
社区书店空调温度适宜，阅读环境舒适,安全治理,表扬,低
社区水果店电子秤不准，存在缺斤少两,民生服务,抱怨,中
社区健身房淋浴间热水供应稳定，使用方便,安全治理,表扬,低
社区网吧环境卫生差，空气不流通,环境卫生,抱怨,中
社区邮政包裹投递准确，很少出错,民生服务,表扬,低
社区餐饮店食材新鲜，烹饪卫生达标,医疗卫生,表扬,低
社区移动公司话费套餐透明，无隐藏消费,社区治理,表扬,低
社区便利店商品种类丰富，满足日常需求,民生服务,表扬,低
社区供电公司停电通知及时，便于安排,社区治理,表扬,低
社区宠物医院医生专业，诊疗水平高,医疗卫生,表扬,低
社区水果店促销活动实在，不搞虚假宣传,民生服务,表扬,低
社区菜市场公平秤设置到位，维护消费者权益,民生服务,表扬,低
社区KTV消费价格透明，无强制消费,民生服务,表扬,低
社区药店医师坐诊专业，用药指导到位,医疗卫生,表扬,低
社区烧烤店食材质量有保障，食品安全达标,医疗卫生,表扬,低
社区银行大堂经理引导有序，减少等待时间,社区治理,表扬,低
社区理发店发型师技术过硬，服务细致,民生服务,表扬,低
社区超市自助结账系统便捷，减少排队,安全治理,表扬,低
社区洗衣店取件提醒及时，避免遗忘,民生服务,表扬,低
社区咖啡厅座位间距合理，隐私保护到位,民生服务,表扬,低
社区美容院产品使用规范，无强制推销,民生服务,表扬,低
社区书店文创产品有特色，深受年轻人喜爱,文化生活,表扬,低
社区水果店支持线上订购，配送及时,民生服务,表扬,低
社区健身房团课内容丰富，教练专业,文化生活,表扬,低
社区网吧电脑配置更新及时，运行流畅,安全治理,表扬,低
社区邮政包裹保管安全，无丢失现象,安全治理,表扬,低
社区餐饮店外卖包装规范，保温效果好,民生服务,表扬,低
社区移动公司客服响应及时，问题解决迅速,社区治理,表扬,低
社区便利店24小时营业，夜间购物方便,民生服务,表扬,低
社区供电公司智能电表读数准确，计费公正,安全治理,表扬,低
社区宠物医院预约系统便捷，减少等待,医疗卫生,表扬,低
社区水果店支持多种支付方式，结算方便,民生服务,表扬,低
社区菜市场商户诚信经营，无欺客现象,民生服务,表扬,低
社区KTV音响效果专业，唱歌体验好,文化生活,表扬,低
社区药店中药饮片质量可靠，炮制规范,医疗卫生,表扬,低
社区烧烤店调料自制，口味独特正宗,民生服务,表扬,低
社区银行贵宾室环境舒适，服务周到,社区治理,表扬,低
社区理发店儿童理发服务耐心细致,民生服务,表扬,低
社区超市商品促销真实惠，不玩价格游戏,民生服务,表扬,低
社区洗衣店特殊面料处理专业，无损坏,民生服务,表扬,低
社区咖啡厅手冲咖啡专业，品质稳定,民生服务,表扬,低
社区美容院美容师手法专业，效果明显,医疗卫生,表扬,低
社区书店举办作者签售会，读者互动热烈,文化生活,表扬,低
社区水果店果切新鲜，方便食用,民生服务,表扬,低
社区健身房私教专业负责，训练计划科学,民生服务,表扬,低
社区网吧禁烟管理严格，空气清新,环境卫生,表扬,低
社区邮政快递包装回收利用，环保意识强,环境卫生,表扬,低
社区餐饮店明厨亮灶，制作过程透明,医疗卫生,表扬,低
社区移动公司5G信号覆盖完善，网速快,安全治理,表扬,低
社区便利店热食供应稳定，品质有保障,民生服务,表扬,低
社区供电公司故障抢修及时，恢复供电快,安全治理,表扬,高
社区宠物医院住院部环境整洁，护理周到,医疗卫生,表扬,低
社区水果店进口水果品质保证，来源正规,民生服务,表扬,低
社区菜市场检测室运行规范，食品安全有保障,医疗卫生,表扬,低
社区KTV酒水价格合理，无漫天要价,民生服务,表扬,低
社区药店处方药管理严格，凭方售药,医疗卫生,表扬,低
社区烧烤店炭火质量好，无浓烟产生,环境卫生,表扬,低
社区银行残障人士服务到位，无障碍设施完善,社区治理,表扬,低
社区理发店工具消毒规范，卫生达标,医疗卫生,表扬,低
社区超市生鲜检测报告公示及时，食品安全透明,医疗卫生,表扬,低
社区洗衣店取件短信提醒及时，避免超时,民生服务,表扬,低
社区咖啡厅插座配置充足，方便办公学习,安全治理,表扬,低
社区美容院产品展示规范，无假冒伪劣,民生服务,表扬,低
社区书店阅读推荐精准，符合读者兴趣,文化生活,表扬,低
社区水果店果篮定制服务贴心，送礼体面,民生服务,表扬,低
社区健身房更衣室卫生整洁，设施完好,环境卫生,表扬,低
社区网吧未成年人管理严格，执行到位,安全治理,表扬,低
社区邮政国际包裹服务专业，清关顺利,民生服务,表扬,低
社区餐饮店菜品创新不断，口味多样化,民生服务,表扬,低
社区移动公司宽带安装及时，网络稳定,安全治理,表扬,低
社区便利店热食种类丰富，满足不同需求,民生服务,表扬,低
社区供电公司电费缴纳方式多样，方便快捷,社区治理,表扬,低
社区宠物医院急诊绿色通道畅通，救治及时,医疗卫生,表扬,高
社区水果店会员积分制度合理，回馈顾客,民生服务,表扬,低
社区菜市场公平交易，无强买强卖,民生服务,表扬,低
社区KTV消防安全培训到位，员工应急能力强,安全治理,表扬,低
社区药店药品储存规范，温湿度控制严格,医疗卫生,表扬,低
社区烧烤店员工健康证齐全，持证上岗,医疗卫生,表扬,低
社区银行理财产品风险提示清晰，无误导销售,社区治理,表扬,低
社区理发店预约时段安排合理，避免拥挤,民生服务,表扬,低
社区超市商品陈列整齐，购物环境舒适,民生服务,表扬,低
社区洗衣店取件流程便捷，节省时间,民生服务,表扬,低
社区咖啡厅背景音乐音量适中，不扰民,社区治理,表扬,低
社区美容院顾客隐私保护到位，无信息泄露,安全治理,表扬,低
社区书店文化生活丰富，促进社区文化交流,文化生活,表扬,低
社区水果店果品产地明确，质量可追溯,民生服务,表扬,低
社区健身房空气质量良好，通风系统完善,环境卫生,表扬,低
社区网吧实名登记严格，无未成年人进入,安全治理,表扬,低
社区邮政包裹投递时间准确，不延误,民生服务,表扬,低
社区餐饮店外卖配送及时，包装完好,民生服务,表扬,低
社区移动公司投诉处理及时，客户满意度高,社区治理,表扬,低
社区便利店商品保质期管理严格，无过期商品,民生服务,表扬,低
社区供电公司用电安全宣传到位，事故预防有效,安全治理,表扬,低
社区宠物医院医疗设备先进，诊断准确,医疗卫生,表扬,低
社区水果店退换货政策合理，顾客权益有保障,民生服务,表扬,低
社区菜市场垃圾分类执行到位，环境整洁,环境卫生,表扬,低
社区KTV消费明细清晰，无隐性收费,民生服务,表扬,低
社区药店用药指导专业，避免药物相互作用,医疗卫生,表扬,低
社区烧烤店食材采购严格，保证新鲜度,医疗卫生,表扬,低
社区银行自助设备维护及时，故障率低,安全治理,表扬,低
社区理发店儿童娱乐区安全卫生，家长放心,安全治理,表扬,低
社区超市价格检查严格，无价格欺诈,民生服务,表扬,低
社区洗衣店特殊污渍处理专业，去污效果好,民生服务,表扬,低
社区咖啡厅食品安全管理严格，无过期食材,医疗卫生,表扬,低
社区美容院消毒隔离措施到位，预防交叉感染,医疗卫生,表扬,低
社区书店阅读活动组织有序，参与度高,文化生活,表扬,低
社区水果店配送服务及时，水果新鲜送达,民生服务,表扬,低
社区健身房安全警示标识清晰，预防运动损伤,安全治理,表扬,低
社区网吧环境卫生打扫及时，保持整洁,环境卫生,表扬,低
社区邮政包裹查询系统便捷，物流信息透明,民生服务,表扬,低
社区餐饮店员工服务培训到位，礼貌待客,民生服务,表扬,低
社区移动公司信号故障修复及时，影响小,安全治理,表扬,中
社区便利店热食保温措施到位，口感保持好,民生服务,表扬,低
社区供电公司用电咨询专业，解答耐心,社区治理,表扬,低
社区宠物医院术后回访及时，关爱到位,医疗卫生,表扬,低
社区水果店果品包装精美，送礼体面,民生服务,表扬,低
社区菜市场商户证照齐全，经营规范,民生服务,表扬,低
社区KTV音响设备定期维护，音质稳定,安全治理,表扬,低
社区药店药品价格公示清晰，无乱收费,医疗卫生,表扬,低
社区烧烤店排烟系统运行正常，无油烟外泄,环境卫生,表扬,低
社区银行电子银行服务便捷，业务办理高效,社区治理,表扬,低
社区理发店预约提醒及时，避免客户遗忘,民生服务,表扬,低
社区超市商品补货及时，货架充足,民生服务,表扬,低
社区洗衣店取件流程简化，节省客户时间,民生服务,表扬,低
社区咖啡厅环境设计优雅，氛围舒适,民生服务,表扬,低
社区美容院产品试用装提供，客户体验好,民生服务,表扬,低
社区书店新书推荐及时，满足阅读需求,文化生活,表扬,低
社区水果店果品保鲜技术先进，损耗率低,民生服务,表扬,低
社区健身房团课预约系统稳定，操作简便,安全治理,表扬,低
社区网吧电脑维护及时，运行速度快,安全治理,表扬,低
社区邮政包裹保管安全，无丢失损坏,安全治理,表扬,低
社区餐饮店外卖保温袋质量好，保温效果佳,民生服务,表扬,低
社区移动公司业务办理指引清晰，流程简化,社区治理,表扬,低
社区便利店商品摆放科学，便于寻找,民生服务,表扬,低
社区供电公司用电安全检查定期，隐患及时排除,安全治理,表扬,低
社区宠物医院医疗废物处理规范，环保达标,环境卫生,表扬,低
社区水果店果品检测报告公示，质量有保障,医疗卫生,表扬,低
社区菜市场卫生管理制度完善，执行到位,环境卫生,表扬,低
社区KTV消防演练定期开展，应急能力提升,安全治理,表扬,低
社区药店处方审核严格，用药安全有保障,医疗卫生,表扬,低
社区烧烤店员工培训到位，服务专业规范,民生服务,表扬,低
社区银行无障碍通道畅通，方便特殊人群,社区治理,表扬,低
社区理发店工具消毒记录完整，卫生可追溯,医疗卫生,表扬,低
社区超市商品价格调整及时，反映市场变化,民生服务,表扬,低
社区洗衣店特殊面料处理经验丰富，技术专业,民生服务,表扬,低
社区咖啡厅咖啡豆来源透明，品质有保证,民生服务,表扬,低
社区美容院美容仪器定期校准，效果稳定,医疗卫生,表扬,低
社区书店阅读活动形式多样，吸引各年龄段,文化生活,表扬,低
社区水果店会员服务贴心，回访及时,民生服务,表扬,低
社区健身房空气质量检测定期，环境健康,环境卫生,表扬,低
社区网吧实名认证严格，未成年人禁入执行到位,安全治理,表扬,低
社区邮政国际包裹清关专业，时效有保障,民生服务,表扬,低
社区餐饮店明厨亮灶工程到位，制作过程透明,医疗卫生,表扬,低
社区移动公司网络优化及时，信号质量稳定,安全治理,表扬,低
社区便利店热食制作规范，卫生达标,医疗卫生,表扬,低
社区供电公司停电应急预案完善，处置迅速,安全治理,表扬,高
社区宠物医院急诊抢救设备齐全，救治能力强,医疗卫生,表扬,高
社区水果店果品采购渠道正规，质量可靠,民生服务,表扬,低
社区菜市场公平秤使用监督到位，维护公平,民生服务,表扬,低
社区KTV消费环境安全，消防设施完好,安全治理,表扬,低
社区药店药品储存条件达标，质量有保障,医疗卫生,表扬,低
社区烧烤店油烟净化设备定期清洗，排放达标,环境卫生,表扬,低
社区银行金融服务专业，理财产品丰富,社区治理,表扬,低
社区理发店发型设计专业，满足客户需求,民生服务,表扬,低
社区超市自助收银系统稳定，减少排队时间,安全治理,表扬,低
社区洗衣店取件提醒多样化，避免客户遗忘,民生服务,表扬,低
社区咖啡厅环境安静舒适，适合办公学习,民生服务,表扬,低
社区美容院客户信息保护严格，隐私安全,安全治理,表扬,低
社区书店文化生活策划专业，参与度高,文化生活,表扬,低
社区水果店线上商城运营规范，配送及时,民生服务,表扬,低
社区健身房团课内容丰富多样，满足不同需求,文化生活,表扬,低
社区网吧电脑配置高端，游戏体验流畅,安全治理,表扬,低
社区邮政包裹投递准确率高，客户满意度高,民生服务,表扬,低
社区餐饮店外卖配送保温措施到位，口感保持好,民生服务,表扬,低
社区移动公司客户服务热线畅通，问题解决及时,社区治理,表扬,低
社区便利店商品质量把控严格，无假冒伪劣,民生服务,表扬,低
社区供电公司智能电表运行稳定，计量准确,安全治理,表扬,低
社区宠物医院医疗团队专业，诊疗水平高,医疗卫生,表扬,低
社区水果店果品包装环保，减少塑料使用,环境卫生,表扬,低
社区菜市场商户诚信经营，消费者权益有保障,民生服务,表扬,低
社区KTV音响效果调试专业，唱歌体验佳,文化生活,表扬,低
社区药店中药质量把控严格，炮制规范,医疗卫生,表扬,低
社区烧烤店特色菜品创新，口味独特,民生服务,表扬,低
社区银行贵宾服务专业，客户体验好,社区治理,表扬,低
社区理发店儿童理发区安全舒适，家长放心,安全治理,表扬,低
社区超市促销活动真实惠，让利消费者,民生服务,表扬,低
社区洗衣店特殊污渍处理技术专业，去污力强,民生服务,表扬,低
社区咖啡厅手冲咖啡技艺精湛，品质稳定,民生服务,表扬,低
社区美容院美容师持续培训，技术水平提升,医疗卫生,表扬,低
社区书店作者交流活动频繁，促进文化传播,文化生活,表扬,低
社区水果店果切服务专业，方便快捷,民生服务,表扬,低
社区健身房私教课程个性化，训练效果明显,民生服务,表扬,低
社区网吧禁烟管理严格，营造无烟环境,环境卫生,表扬,低
社区邮政快递包装回收利用，践行环保理念,环境卫生,表扬,低
社区餐饮店厨房卫生达标，食品安全有保障,医疗卫生,表扬,低
社区移动公司5G网络优化及时，用户体验好,安全治理,表扬,低
社区便利店热食种类创新，满足多样化需求,民生服务,表扬,低
社区供电公司故障预警及时，预防性维护到位,安全治理,表扬,中
社区宠物医院住院部管理规范，护理专业,医疗卫生,表扬,低
社区水果店进口水果检疫证明齐全，安全可靠,医疗卫生,表扬,低
社区菜市场食品安全检测严格，保障消费者健康,医疗卫生,表扬,低
社区KTV酒水供应商资质审核严格，质量有保障,民生服务,表扬,低
社区药店处方药管理规范，确保用药安全,医疗卫生,表扬,低
社区烧烤店炭火质量把控严格，环保达标,环境卫生,表扬,低
社区银行残障人士服务设施完善，关怀到位,社区治理,表扬,低
社区理发店消毒记录完整，卫生管理规范,医疗卫生,表扬,低
社区超市生鲜检测报告公示及时，信息透明,医疗卫生,表扬,低
社区洗衣店取件流程优化，客户体验提升,民生服务,表扬,低
社区咖啡厅电源插座布局合理，方便使用,安全治理,表扬,低
社区美容院产品进货渠道正规，质量可靠,民生服务,表扬,低
社区书店阅读推荐精准专业，提升阅读体验,文化生活,表扬,低
社区水果店果篮定制服务专业，满足个性化需求,民生服务,表扬,低
社区健身房更衣室管理规范，环境卫生良好,环境卫生,表扬,低
社区网吧未成年人禁入执行严格，管理规范,安全治理,表扬,低
社区邮政国际包裹服务专业高效，清关顺利,民生服务,表扬,低
社区餐饮店菜品研发创新，口味多样化,民生服务,表扬,低
社区移动公司宽带安装服务专业，网络稳定,安全治理,表扬,低
社区便利店热食供应稳定，品质控制严格,民生服务,表扬,低
社区供电公司电费缴纳渠道多样，便捷高效,社区治理,表扬,低
社区宠物医院急诊响应迅速，救治及时专业,医疗卫生,表扬,高
社区水果店会员积分制度合理，增强客户粘性,民生服务,表扬,低
社区菜市场交易秩序良好，无强买强卖现象,民生服务,表扬,低
社区KTV消防安全管理规范，应急演练到位,安全治理,表扬,低
社区药店药品储存条件控制严格，质量保障,医疗卫生,表扬,低
社区烧烤店员工健康管理规范，持证上岗,医疗卫生,表扬,低
社区银行理财产品信息披露透明，风险提示到位,社区治理,表扬,低
社区理发店预约管理科学，避免客户等待,民生服务,表扬,低
社区超市商品陈列科学合理，购物体验舒适,民生服务,表扬,低
社区洗衣店取件流程便捷高效，节省客户时间,民生服务,表扬,低
社区咖啡厅背景音乐选择恰当，营造舒适氛围,社区治理,表扬,低
社区美容院客户隐私保护措施完善，信息安全,安全治理,表扬,低
社区书店文化交流活动丰富，促进社区和谐,文化生活,表扬,低
社区水果店果品溯源系统完善，质量可追溯,民生服务,表扬,低
社区健身房通风系统运行良好，空气质量优,环境卫生,表扬,低
社区网吧实名登记管理严格，规范经营,安全治理,表扬,低
社区邮政包裹投递时效稳定，服务可靠,民生服务,表扬,低
社区餐饮店外卖服务专业，配送及时准确,民生服务,表扬,低
社区移动公司投诉处理机制完善，客户满意,社区治理,表扬,低
社区便利店商品保质期管理严格，质量保障,民生服务,表扬,低
社区供电公司用电安全宣传深入，事故预防有效,安全治理,表扬,低
社区宠物医院医疗设备维护及时，运行稳定,医疗卫生,表扬,低
社区水果店退换货政策合理，保障消费者权益,民生服务,表扬,低
社区菜市场垃圾分类执行到位，环境卫生良好,环境卫生,表扬,低
社区KTV消费明细清晰透明，无隐性消费,民生服务,表扬,低
社区药店用药指导专业细致，避免用药错误,医疗卫生,表扬,低
社区烧烤店食材采购质量控制严格，新鲜度有保障,医疗卫生,表扬,低
社区银行自助设备维护保养及时，运行稳定,安全治理,表扬,低
社区理发店儿童娱乐区安全管理到位，家长安心,安全治理,表扬,低
社区超市价格管理规范，无价格欺诈行为,民生服务,表扬,低
社区洗衣店特殊污渍处理技术专业，效果显著,民生服务,表扬,低
社区咖啡厅食品安全管理制度完善，执行到位,医疗卫生,表扬,低
社区美容院消毒隔离措施严格执行，预防感染,医疗卫生,表扬,低
社区书店阅读活动组织专业，参与热情高,文化生活,表扬,低
社区水果店配送服务高效及时，水果新鲜,民生服务,表扬,低
社区健身房安全警示标识清晰明确，预防事故,安全治理,表扬,低
社区网吧环境卫生维护及时，整洁舒适,环境卫生,表扬,低
社区邮政包裹查询系统便捷准确，信息透明,民生服务,表扬,低
社区餐饮店员工服务培训到位，专业礼貌,民生服务,表扬,低
社区移动公司信号维护及时，网络质量稳定,安全治理,表扬,中
社区便利店热食保温设备运行良好，品质稳定,民生服务,表扬,低
社区供电公司用电咨询服务专业，解答耐心,社区治理,表扬,低
社区宠物医院术后关怀到位，回访及时,医疗卫生,表扬,低
社区水果店果品包装精美环保，提升品质,民生服务,表扬,低
社区菜市场商户经营管理规范，证照齐全,民生服务,表扬,低
社区KTV音响设备维护专业，音质效果稳定,安全治理,表扬,低
社区药店药品价格管理规范，透明公正,医疗卫生,表扬,低
社区烧烤店排烟系统维护到位，环保达标,环境卫生,表扬,低
社区银行电子银行服务便捷高效，体验良好,社区治理,表扬,低
社区理发店预约提醒服务贴心，避免客户遗忘,民生服务,表扬,低
社区超市商品补货及时准确，货架充足,民生服务,表扬,低
社区洗衣店取件流程简化优化，提升效率,民生服务,表扬,低
社区咖啡厅环境设计专业，氛围舒适优雅,民生服务,表扬,低
社区美容院产品试用服务到位，体验良好,民生服务,表扬,低
社区书店新书推荐及时准确，满足需求,文化生活,表扬,低
社区水果店果品保鲜技术先进，品质稳定,民生服务,表扬,低
社区健身房团课预约系统稳定可靠，操作简便,安全治理,表扬,低
社区网吧电脑维护保养专业，运行流畅,安全治理,表扬,低
社区邮政包裹保管安全可靠，无丢失损坏,安全治理,表扬,低
社区餐饮店外卖保温措施到位，品质保持好,民生服务,表扬,低
社区移动公司业务办理流程优化，效率提升,社区治理,表扬,低
社区便利店商品陈列科学合理，便于选购,民生服务,表扬,低
社区供电公司用电安全检查定期开展，隐患排除及时,安全治理,表扬,低
社区宠物医院医疗废物处理规范专业，环保达标,环境卫生,表扬,低
社区水果店果品质量检测严格，安全可靠,医疗卫生,表扬,低
社区菜市场卫生管理制度完善执行，环境整洁,环境卫生,表扬,低
社区KTV消防演练定期规范开展，应急能力提升,安全治理,表扬,低
社区药店处方审核严格专业，用药安全,医疗卫生,表扬,低
社区烧烤店员工培训系统专业，服务规范,民生服务,表扬,低
社区银行无障碍服务完善到位，便利特殊群体,社区治理,表扬,低
社区理发店消毒管理规范严格，卫生达标,医疗卫生,表扬,低
社区超市商品价格调整及时合理，市场反应灵敏,民生服务,表扬,低
社区洗衣店特殊面料处理经验丰富专业，技术可靠,民生服务,表扬,低
社区咖啡厅咖啡豆供应链透明可靠，品质保证,民生服务,表扬,低
社区美容院美容仪器校准维护及时，效果稳定,医疗卫生,表扬,低
社区书店阅读活动形式多样创新，吸引力强,文化生活,表扬,低
社区水果店会员服务体系完善，服务贴心,民生服务,表扬,低
社区健身房空气质量监测定期规范，环境健康,环境卫生,表扬,低
社区网吧实名认证管理严格规范，执行到位,安全治理,表扬,低
社区邮政国际包裹清关服务专业高效，时效保障,民生服务,表扬,低
社区餐饮店明厨亮灶工程实施到位，透明安全,医疗卫生,表扬,低
社区移动公司网络优化维护及时专业，信号稳定,安全治理,表扬,低
社区便利店热食制作规范卫生，品质可控,医疗卫生,表扬,低
社区供电公司停电应急预案完善有效，处置迅速,安全治理,表扬,高
